,HABIT in Images-TRAITS,,,,,,,,,,,,,,,,,DEPENDS ON leaf_type = simple,DEPENDS ON leaf_type = simple,DEPENDS ON leaf_type = pinnately compound OR palmately compound,DEPENDS ON leaf_type = pinnately compound OR palmately compound OR trifoliate,,,DEPENDS ON leaf_type = simple,DEPENDS ON leaf_type = simple,DEPENDS ON leaf_type = simple,DEPENDS ON leaf_type = simple,,,DEPENDS ON Are_flowers_present = YES,DEPENDS ON Are_flowers_present = YES AND flower_type = showy/petals present,DEPENDS ON Are_flowers_present = YES,DEPENDS ON Are_flowers_present = YES AND flower_type = showy/petals present,DEPENDS ON Are_flowers_present = YES and flower_type = showy/petals present,,,,,,,,,DEPENDS on thorns = no thorns,,,DEPENDS ON leaf_arrangment = OPPOSITE,DEPENDS ON leaf_arrangement opposite AND pith_type = solid
Ecosystem,PlantType,name,common_name,D-alt-commons,D-Family,D-Native to,D-Habitat,D-Description,D-Flowering month,D-Uses/Notes,D-Quick ID,D-Look-alikes,D-Status,leaf_arrangement,leaf_type,mature_shrub_growth_form,thorns_on_twig,simple_leaf_shape1,simple_leaf_shape2,leaflet_number,leaflet_shape1,leaf_margin1,leaf_margin2,leaf_tip1,leaf_tip2,leaf_base1,leaf_base2,Short_shoots_present?,Are_flowers_present?,flower_type,flower_color,flower_arrangement,flower_symmetry*,number_of_petals,fruit_type,ripe_fruit_color,leaf_upper_surface_texture,leaf_lower_surface_texture,leaf_or_leaflet_venation,leaf_fall_color,leaf_fall_color2,special petiole features?,young_stem_texture1,young_stem_texture2,stipules_present,pith_type,pith-color
"Forest, Prairie, Disturbed area","broadleaf tree, broadleaf shrub",Acer ginnala,Amur maple,,Sapindaceae,Asia,"Planted ornamentally, but is dispersed by wind into open woods, prairies, field edges and roadsides and is becoming a problem in the Midwest as it displaces and shades out native species.","Small tree or multi-stemmed shrub to 5 m (15 ft) tall, with opposite mostly 3-lobed (sometimes 5-lobed) leaves, 4–10 cm (2-4"") long and 3-6 cm (1 1/4-2 1/2"") wide.  The terminal lobe tends to be much longer than the lateral lobes.  Small yellow-green flowers 5–8 mm (1/3 - 1/2"") in diameter emerge in spring as leaves flush, in open panicles. The fruit is a paired samara, the seed 8–10 mm long with a 1.5–2 cm wing, ripening to a reddish color in late summer to early autumn.","April, May",Ornamental,"Shrub or bushy tree with opposite, lobed, coarsely toothed leaves, the terminal lobe much longer than the lateral lobes. The leaf is notably longer than broad.","Red maple (Acer rubrum) is a medium to large tree, that has 3-lobed leaves of roughly equal size, the leaf about as long as broad.",Introduced - potentially invasive,opposite,simple,Upright,no thorns,lobed,ovate,,,pointy lobes,coarsely toothed,acuminate,acute,"truncate, cordate",obtuse,No,"Yes, No","Inconspicuous / Green, Showy / Colorful",white or cream,panicle,radial,5,paired samara,"green, red",glabrous - glossy,,3-veined or palmate,orange,"yellow, red",none of these features,hairless,,No,unavailable,
"Forest, Disturbed area","broadleaf tree, broadleaf shrub",Acer spicatum,mountain maple,,Sapindaceae,WI,"Widely distributed in Wisconsin, but more common in the north.  A shrub or small tree primarily in wet forests, often growing in rocky dolomite or limestone areas in part shade.  Common in disturbed forests of the Door Peninsula.","Small tree or shrub to 3–8 m (10–25 ft) tall with thin gray bark.  Leaves opposite, simple, with 3-5 shallow lobed leaves, the lobes pointy with V-shaped sinuses.  Petioles equal to or a bit shorter than the length of the leaves. The upperside is glabrous with prominent venation, the underside is downy-hairy.  Small greenish-white flowers in long erect (or pendant) racemes, developing into pendant red-tinted samaras, 2–3 cm (3⁄4–1 1⁄4 in) long, joined at an acute <90 degree angle.","May, June, July",Sap can be used to make maple syrup.  Seeds eaten by squirrels and chipmunks. ,"Low stature maple with opposite 3-5 lobed, sharp pointed leaves and hairy leaf undersides and young stems.","Red maple (Acer rubrum) is a medium to large tree, and does not have downy hairs on the underside of the leaves.",Native,opposite,simple,Upright,no thorns,lobed,,,,pointy lobes,coarsely toothed,acute,acuminate,cordate,,No,"Yes, No","Inconspicuous / Green, Showy / Colorful","white or cream, green",raceme,radial,5,paired samara,"green, red",glabrous - matte,hairy,3-veined or palmate,red,yellow,none of these features,hairy,fuzzy,No,unavailable,
"Disturbed area, Forest, Wet area","broadleaf tree, broadleaf shrub",Alnus incana ,speckled alder,"mountain alder, tag alder, swamp alder",Betulaceae,WI,Found throughout WI in wetland areas and along northern streams.,Coming soon!,"April, May, June",Fruit is eaten by birds. Humans utilize for ornamental use.,"Thicket-forming shrub with narrowly winged fruit, alternate, simple, and toothed leaves, and catkins on short or absent stalks. ",Alnus viridis has broadly winged fruit. ,Native,alternate,simple,Upright,no thorns,ovate,elliptic,,,doubly toothed,coarsely toothed,acute,,rounded,obtuse,No,"Yes, No",Inconspicuous / Green,,catkin/cone,,,single samara,brown,"glabrous - matte, hairy",hairy,pinnate,yellow-green,,none of these features,hairless,,Yes,,
Bog,broadleaf shrub,Alnus viridis,green alder,"mountain alder, Sitka alder",Betulaceae,WI,"A widespread and versatile species of moist to wet soils; streambanks, lakeshores, bog edges, sandy to gravelly slopes or flats, mostly in northern WI and along beaches near Lake Superior.","Thicket forming shrub to 4 m (12') tall with pale lenticels on smooth-barked stems.  Leaves alternate, simple, and ovate with somewhat wavy toothed margins and a pointed tip. Young leaves and twigs may be sticky.  Flowers in catkins; the male catkins long and slender on long stalks, and the female catkin ovoid, 1-2 cm long and cone-like, developing into a small, brown cone-like structure that bears tiny (2-3 mm) winged seeds.","May, June",Wood for fuel or smoking meat.  Cover for wildlife.,"Thicket-forming shrub with sticky leaves and twigs, finely toothed leaf margins, and fruit with large wings.","Alnus incana (specked alder) does not have sticky leaves and twigs, and has doubly-toothed leaves. The catkins are sessile or on short stalks and the fruit has narrow wings. Alnus glutinosa (European alder) has leaves that often are indented at the tip and is often planted, rarely in large natural colonies.",Native,"alternate, clustered on short shoots",simple,"Upright, Sprawling or arching",no thorns,ovate,elliptic,,,doubly toothed,finely toothed,acute,rounded,rounded,"cordate, obtuse",Yes,"Yes, No",Inconspicuous / Green,,catkin/cone,,,catkin/cone,brown,"glabrous - matte, hairy","glabrous - glossy, hairy",pinnate,yellow-green,yellow,none of these features,hairless,hairy,Yes,,
Forest,broadleaf shrub,Amelanchier arborea,downy juneberry,"downy shadbush, common serviceberry",Rosaceae,WI,"Most commonly found in dry forests with sandy substrates, but also occurs in mesic forests and swampy areas.",Coming soon!,"April, May",Ornamental,"Shrub or tree (<10 m tall). Leaves are simple, alternate, pubescent, with finely serrate margins, and only begin to unfold once flowering starts. ",Amelanchier laevis has bronzy leaves that are hairless once mature.,Native,alternate,simple,Upright,no thorns,obovate,,,,finely toothed,,acute,,rounded,cordate,No,"Yes, No",Showy / Colorful,white or cream,raceme,radial,5,pome,purple,"glabrous - matte, hairy","glabrous - matte, hairy",pinnate,yellow,"orange, red",none of these features,hairless,"fuzzy, hairy",No,,
"Bog, Forest",broadleaf shrub,Amelanchier bartramiana,Bartram's juneberry,"mountain serviceberry, oblong-fruit serviceberry",Rosaceae,WI,"Found in the very northern part of Wisconsin in wet habitats (swamps, bogs), sandy or rocky openings, and hardwood forests.",Coming soon!,"May, June",Ornamental,"Sprawling shrub growing to 2 m tall. Twigs are tinged with purple, flowers are single or clumped in axils of leaves (up to 3). Leaves often bristle-tipped.","All other Amelanchier spp. in Wisconsin have 4 or more flowers in each inflorescence, leaves do not taper at the base. ",Native,alternate,simple,"Sprawling or arching, Upright",no thorns,ovate,elliptic,,,finely toothed,,obtuse,"rounded, acute",rounded,acute,No,"Yes, No",Showy / Colorful,white or cream,"cluster, single",radial,5,pome,purple,"glabrous - matte, hairy","glabrous - matte, hairy",pinnate,red,,none of these features,hairless,,No,,
"Forest, Wet area",broadleaf shrub/tree,Amelanchier humilis,,,Rosaceae,WI,Prefers basic or neutral soils in forests or along shorelines.,Coming soon!,"May, June",Ornamental,"Shrub that spreads by rhizomes, creating colonies. Leaf margins have 3-6 teeth per side.",Other Amelanchier spp. do not spread as readily by rhizomes/suckering. ,Native,alternate,simple,"Sprawling or arching, Upright",no thorns,elliptic,"ovate, obovate",,,finely toothed,coarsely toothed,acute,rounded,cordate,rounded,No,"Yes, No",Showy / Colorful,white or cream,raceme,radial,5,pome,black,"glabrous - matte, hairy","hairy, velvety, glabrous - matte",pinnate,yellow,red,none of these features,unavailable,,No,,
"Forest, Prairie, Wet area",broadleaf shrub,Amelanchier interior,inland juneberry,"inland serviceberry, Pacific serviceberry, Wiegand's shadbush",Rosaceae,WI,"Found in well-drained substrates such as sandy savannas, dunes, rock outcrops. Can also occur at the border of woods and swamps. ",Coming soon!,"April, May, June",Ornamental,Shrub or tree with finely toothed leaves and tip of ovary covered with hairs. ,Amelanchier sanguinea and Amelanchier spicata has fewer teeth on leaf margins (<25/side).,Native,alternate,simple,"Sprawling or arching, Upright",no thorns,ovate,,,,finely toothed,,acute,acuminate,rounded,cordate,No,"Yes, No",Showy / Colorful,white or cream,raceme,radial,5,pome,purple-black,"glabrous - matte, hairy","glabrous - matte, hairy",pinnate,yellow,"orange, red",none of these features,hairless,,No,,
"Forest, Bog, Wet area",broadleaf shrub,Amelanchier laevis,Allegheny serviceberry,"Allegheny shadblow, smooth serviceberry",Rosaceae,WI,"Found in savannas with sandy substrate, rocky areas, and on edges of rivers, forests, and bogs. ",Coming soon!,"April, May",Ornamental,"Hairless ovaries, finely serrate leaves, and bronze-red leaves that are partly unfloded when flowering begins. ",Amelanchier arborea has pubescent leaves into maturity. ,Native,alternate,simple,Upright,no thorns,elliptic,ovate,,,finely toothed,,acute,acuminate,rounded,cordate,No,"Yes, No",Showy / Colorful,white or cream,raceme,radial,5,pome,purple,"glabrous - matte, hairy",glabrous - matte,pinnate,yellow,"orange, red",none of these features,hairless,waxy,No,,
