,,,,,,,,,,,,,,,,,DEPENDS ON LEAF_TYPE = ANYTHING BUT SIMPLE,DEPENDS ON LEAF_TYPE = ANYTHING BUT SIMPLE,DEPENDS ON OPPOSITE > PINNATELY COMPOUND,,,"DEPENDENT ON OPPOSITE, SIMPLE, LOBED",DEPENDENT ON MAPLE-SINUS-SHAPE > V-SHAPED,,,,,,,,DEPENDANT ON flower_type = showy,,,,,,
PlantType,name,common_name,D-alt-commons,D-family,D-nativeto,D-habitat,D-description,D-Uses/Notes,D-Quick ID,D-Look-alikes,D-Status*,D-Photo credits,tree_type,leaf_arrangement,leaf_type,leaf_shape,leaflet_number,leaflet_shape,leaflet_stalk,leaf_or_leaflet_margin,leaf_or_leaflet_venation,maple_sinus_shape,leaf_length_width_ratio,petiole-cross-section,Asymmetrical_leaf_base?,leaf_upper_surface_texture,leaf_lower_surface_texture,Milky_sap_present ,thorns_on_twig,flower_type,flower_color,flower_symmetry,fruit_type,ripe_fruit_color,bark_texture,fall_color,special_bark_color?
"broadleaf tree, broadleaf shrub",Salix spp.,willows,,Salicaceae,WI,"Floodplains, marshes, and wet edge habitats.","Shrubs or trees, often growing on wet soils, and usually with strong but thin and flexible branches and twigs.  Larger trees often have trunks that fork near the base. The leaves are alternate, simple, linear or elongated, though some species may have wider elliptic leaves. Leaf color varies from green, to yellowish-green, to bluish or whitish green.  Often the leaves are a lighter color on the underside.  Margins may be entire or frequently toothed along the lower half of the leaf.  Buds are lateral; no true terminal bud is present.  Stipules are present, but not always very conspicuous and may fall off.  The buds are covered by a single bud scale.  The plants are dioecious. Male trees bear flowers on hairy catkins that often open prior to leaf flush in spring (think of the soft catkins of pussy willows).  Female catkins produce fuzzy seeds that are wind dispersed.","By wildlife:  Several species of insect larvae feed on willow leaves.  Thickets of willow provide cover for wildlife.
By humans:  Willow sap is the source of salicylic acid, the active ingredient in aspirin.  Willows may be planted on streambanks for erosion control, or become invasive and shade out native riparian species.  Some are ornamental.","Hairy catkins, and linear or elongate leaves with stipules.",There are many Salix species and they freely hybridize and are difficult to tell apart.,Native,,broadleaf,alternate,simple,"elliptic, linear",,,,finely toothed,"pinnate, reticulate, inconspicuous",,,round,no,"dull, shiny, hairy","dull, shiny, hairy",no,no thorns,inconspicuous / petals absent,,,achene,,"smooth, ridged, fissured, scaly","yellow-green, yellow",grey-brown
broadleaf tree,Populus grandidentata,big-tooth aspen,"large-toothed aspen, American aspen, poplar, popple, white poplar",Salicaceae,WI,"Found mostly in upland sites throughout WI, especially on sandy to sandy-loam soils, often in clonal stands.  Easily reproduces from seed or sucker shoots on disturbed site where it can serve as a nurse tree for later successional species.","Short-lived medium sized tree (60-80 ft tall and 8-10"" diameter), with alternate, simple, ovate leaves that have large, widely separated teeth giving the leaf a scalloped margin.  The petiole is flat, like most other Populus, making the leaves flutter distinctively even in light wind.  Flowers and fruits are in catkins.  Bark of younger trees and upper branches is olive-green, thin and smooth, becoming grey, thick and fissured on the lower half of older trees.","By humans:  Soft, light colored wood used for pulp, particle board, fuel pellets, matchsticks.  ",Upland sites. Leaf with flattened petiole and a scalloped edge with big teeth. Bark smooth and greyish-green.,"Trembling aspen (P. tremuloides) has smaller, vey finely toothed leaves.
Cottonwood (P. deltoides) has widely triangular deltoid leaves with wavy rounded teeth.  Cottonwood also has very thick, ridged bark.",Native,,broadleaf,alternate,simple,"ovate, orbiculate (round)",,,,coarsely toothed,pinnate,,,flat,no,dull,dull,no,no thorns,inconspicuous / petals absent,,,achene,,"smooth, fissured","yellow, orange","white, light grey"
broadleaf tree,Populus balsamifera,balsam poplar,hackmatack,Salicaceae,WI,"A boreal forest tree, found on moist soils in upland mixed forest or old fields in northern and northeastern WI.  Balsam popular is the northern-most hardwood in North America.","Tree to 80' tall; bark dark-gray and furrowed. Leaves ovate to ovate-lanceolate, upper side dark green, underside lighter, often with rusty blotches.  Leaves may appear 3-veined at base. Buds large, brown and pointed, and covered with sticky aromatic resin; the terminal buds up to 1"" long.  Flowers in a long, light yellowish green catkins.  Male catkins are 1½ - 3½"" long with reddish stamens. Female catkins are 2¼ - 6¼"" long with reddish stigmas.  Fruits are small green capsules on the long pendulous catkins that split into two releasing a cottony seed that is wind dispersed.  Bark of younger branches and trunks is smooth and thin, greenish brown to gray.  On older trunks and branches bark turns dark gray to nearly black, with flat-topped vertical ridges and deep furrows. 
","By wildlife:  Wildlife browse the twigs for food. 
By humans: The fragrant resin on the buds and twigs of this tree is called “balm of Gilead”, a salve or ointment made by heating the winter buds in oil used to relieve congestion. The balsam odor can be detected on calm, humid days in Spring as buds break, and during the early summer.  The soft, light wood is used for pulp and construction.",,Cottonwood (Populus deltoides) has deltoid leaves and deep furrowed bark.,Native,,broadleaf,alternate,simple,"cordate, ovate",,,,finely toothed,"3-veined, pinnate",,,round,no,"dull, shiny",dull,no,no thorns,inconspicuous / petals absent,,,achene,,"smooth, fissured","yellow, orange",grey-brown
broadleaf tree,Populus alba,white poplar,silver poplar,Salicaceae,Europe,Planted as ornamental.  Persistent and spreading.,"Tree to 70' tall with whitish-gray bark having diamond-shaped grey marks; branches mostly widely spreading. Leaves coarsely toothed or often with 3-7 palmate lobes; underside and petioles densely white-hairy.  Petioles somewhat flattened. Flowers in 2""-3"" long hanging catkin.",Ornamental,"Shallowly 3-7 lobed, toothed leaves that are very white underneath with dense white fuzz, also along the petioles.  Whitish bark often with a blocky pattern of grey patches.",The dense white fuzz on leaf undersides makes this tree fairly unmistakable.,"Introduced, persistent and spreading",,broadleaf,alternate,simple,"lobed, ovate",,,,"coarsely toothed, pointed lobes",palmate,,,flat,no,dull,hairy,no,no thorns,inconspicuous / petals absent,,,achene,,lenticellate,"yellow, yellow-green",white
broadleaf tree,Populus tremuloides,trembling aspen,"aspen, quaking aspen, popple",Salicaceae,WI,"Populus tremuloides is the most widely distributed tree in North America.  Found throughout WI on a variety soils. Often in dense clonal stands, particularly in open, edge habitats. It is shade-intolerant and disturbance adapted.","A medium sized clonal tree to 80' tall, with smooth light bark, and alternate, ovate to orbiculate leaves on flattened petioles that ""tremble"" in the wind. The leaves are 1 1⁄2–3 1⁄4"" in diameter and finely toothed, with 1 1⁄4–2 3⁄4"" (3–7-cm) long flat petioles.  The trees are dioecious, with flowers in 1 1/2 - 2 1/2"" (4-6 cm) long catkins  produced in early spring.  The fruit is a 4"" (10 cm) long catkin of small capsules containing multiple seeds surrounded by fluffy hairs that aid in their dispersal by wind. ","By wildlife:  The larvae of several butterfly species eat the foliage.
By humans:  The wood is light, used for pulp and waferboard. It can also be used for light weight furniture, panels, and boxes.  ","Small, round coin-like leaves that flutter in light wind. Smooth whitish bark, clonal growth.","Bigtooth aspen has larger ovate leaves with coarse, sparsely spaced teeth, while cottonwood has distinctly deltoid leaves with a finely wavy margin.",Native,,broadleaf,alternate,simple,"orbiculate (round), ovate",,,,finely toothed,"3-veined, pinnate",,,flat,no,dull,dull,no,no thorns,inconspicuous / petals absent,,,achene,,smooth,yellow,"white, light grey"
broadleaf tree,Populus deltoides,eastern cottonwood,plains cottonwood,Salicaceae,WI,"Common along streams, rivers and lakes on sunny, moist, exposed sites in southern parts of the state.  ","A large tree with thick ridged bark, usually growing near water.  The leaves are alternate, simple and deltoid in shape, with a nearly straight base, fine wavy margins leading to a pointed tip, and flat petioles that make the leaves flutter, even in light winds.  A tree of bottomlands, cottonwood grows quickly and can reach heights of 175-190 ft, the tallest tree species east of the Rocky Mountains.   ","By wildlife:  The seed fluff is used by wildlife to line nests.  The leaves of young shoots are good forage.
By humans: The tree is fast growing with light wood, making it a suitable forestry tree for pulp, furniture core stock, and cellulosic biofuel production.  Also planted to stabilize wet soils and for windbreaks.","A northern tree with alternate, broadly lanceolate leaves having a rusty or whitish underside and sticky buds. Releases cottony seeds in summer.","Bigtooth aspen (Populus grandidentata) has smooth pale bark, becoming thicker and grey at the base of older trunks, but not deeply ridged.  Also bigtooth aspen's leaves are ovate with large sparsely spaced teeth, while cottonwood has distinctly deltoid leaves with a finely wavy margin.",Native,,broadleaf,alternate,simple,deltoid,,,,finely toothed,"3-veined, pinnate",,,flat,no,dull,dull,no,no thorns,inconspicuous / petals absent,,,achene,,ridged,yellow,grey-brown
broadleaf tree,Quercus ellipsoidalis,northern pin oak,Hill's oak,Fagaceae,WI,Shade intolerant tree found on dry sandy soils throughout WI.,"The leaves are alternate, simple, and pointy-lobed.  The blade elliptic to nearly round in outline, 2¾ - 5½"" long and nearly as wide, on a ¾ to 1¾ inch petiole. Each side has 2 to 4 primary, finger-like lobes having 2 to 5, sharply pointed tips. The sinuses between the lobes are mostly broad and rounded, extending half way or more to the midrib. The upper surface is dark green and shiny, the lower surface light green, sometimes with patches of hairs in the axils of the veins.  The small oval acorn is 1/2 - 2/3"" long with the scaly, almost shaggy turban-shaped cap covering half the nut.  The bark is dark grey with blocky ridges. The twigs are reddish brown and glossy.  ","By wildlife:  Acorns provide food for squirrels, deer, and blue jays. Wood ducks, eastern kingbirds, and the endangered Kirtland's warbler utilize trunk cavities of northern pin oak as nesting sites.
By humans:  Like other species in the red oak group, northern pin oak can be used to make furniture, flooring, and interior finishing.","Deep, bristle-tipped lobes.  Bark dark grey and blocky.","It can be distinguished from red oak (Quercus rubra) by having sinuses extending 1/2 way or more to the midvein and shiny leaf surfaces, compared to the shallow sinuses and (often) dull surfaces of red oak. The leaves of Q. ellipsoidalis are similar to those of scarlet oak (Q. coccinea), pin oak, (Q. palustris) and black oak (Q. velutina). The first two are very rare in southern Wisconsin and black oak is more common, but is mostly southern.  Black oak may have a layer of rusty hairs on the undersides of the leaves that rub off easily.  The acorn of black oak is more spherical. Oaks with deep lobes and sharp tips in the northern half of the state are likely to be Q. ellipsoidalis. ",Native,,broadleaf,alternate,simple,lobed,,,,pointed lobes,pinnate,,,round,no,"dull, shiny","dull, shiny",no,no thorns,inconspicuous / petals absent,,,acorn,brown,"fissured, ridged","burgundy, brown",grey-brown
broadleaf tree,Quercus velutina,black oak,,Fagaceae,WI,"Found on sandy soils, particularly in southwestern WI.","Tree to 60 feet tall, usually shorter, especially on fire-prone sandy sites.  Leaves broad, pointy lobed, with bristle tips on the lobes and with deep U-shaped sinuses extending more than 1/2 way to midvein; the sinuses are deeper on sun-leaves than shade-leaves.  The leaves are densely hairy when emerging, then usually rusty-hairy beneath when mature.  Hair may fall off in later summer and fall. The buds are velvety and covered with rusty or greyish hairs.  The acorn is small, 1/2"" or so, and brown, with a shaggy turban shaped cap covering at least 1/2 of the seed. The cup scales are often edged with black and are at least somewhat hairy.  The bark is dark grey and blocky, with orange-yellow inner bark.  ","Animals eat the acorns.  Wood is used for cabinetry, furniture, interior trim, flooring, and veneer.","These trees favor sandy soils, and have leaves with pointy, bristle-tipped lobes, and rusty hairs on the leaf underside, on the buds, or both.  Scurfy, reddish-brown pubescence may be present on the underside of young leaves that can be easily rubbed off.  Pubescence may fall off later in the summer and fall, leaving leaf undersides glabrous.  Small, turban shaped acorn with thin scales on the cup curling up somewhat along the edge, making a fringe.  Bark dark, rough and blocky with inner bark a distinctly orange color.  This tree is mostly found on sandy soil in fire-prone sites.","Similar to northern pin oak, Q. ellipsoidalis, but generally hairier on leaves, buds and twigs. Buds of black oak are larger then on northern pin oak. ",Native,,broadleaf,alternate,simple,lobed,,,,pointed lobes,pinnate,,,round,no,dull,"dull, hairy",no,no thorns,inconspicuous / petals absent,,,acorn,brown,"blocky, ridged","burgundy, brown, red",grey-brown
broadleaf tree,Quercus coccinea,scarlet oak,,Fagaceae,WI,"Dry uplands, slopes, and ridges, usually in well-drained, poor soils","Tree to 98' tall; lower trunk without stubs of old branches but dead branches may be present in the tree.  Bark dark gray to dark brown, irregularly cut with scaly ridges, inner bark orangish pink.  Leaves 3 - 7"" long, oval in shape with very deep sinuses and bristle-tipped lobes, shiny green above, paler and generally hairless below but may have tufts in vein axils. Dark reddish brown, terminal, conic to oval shaped buds. Fruit a biennial acorn, turban-like to semi-circular cup covering 1/2 of the small 1/2 - 1"" nut.  The cap scales are not shaggy, rather shiny, and the nut has 1 or more rings of pits around the tip. ","By wildlife:  Acorns are an important food source for numerous upland wildlife species including squirrels, chipmunks, mice, wild turkeys,
white-tailed deer, blue jays, and woodpeckers.  White-tailed deer occasionally browse young oak sprouts. 
By humans:  Wood is inferior grade, but is cut and utilized with other red oaks as red oak lumber.","Similar to red oak, northern pin oak, pin oak and black oak but quite rare in WI with only a few records.","Northern pin oak is more common, but the species are difficult to tell apart. Northern pin oak has a rounder acorn with a cap that covers half the seed with shaggy scales.  Red oak leaves are much more shallowly lobed (less than 1/2 way to midrib) and the acorn is much bigger with a cap that covers only 1/4"" or less of the seed.",Native,,broadleaf,alternate,simple,lobed,,,,pointed lobes,pinnate,,,round,no,"dull, shiny","dull, shiny",no,no thorns,inconspicuous / petals absent,,,acorn,brown,"fissured, ridged, blocky","red, burgundy",grey-brown
