Common name,Scientific Name,Genus,Species,Family,Info Native or Introduced to WI,Info WI Status,Info Coefficient of Conservatism,Description,Description Quick ID,Description Medicinal uses,Description Edibility,Description Fun Facts,Description Look-Alikes,Description interactions in the prairie,Info Blooming Period,Info Soil Preference,Info Most Common Common Names,Flower color,Flower arrangement,Flower symmetry,Number Flower Parts,Flowering month,Leaf arrangement,Leaf type,Leaf shape,Leaf Margin,Petiole present,Leaf venation,Stem shape,Stem Texture,Plant Height,Growth Form,Distribution
Velvetleaf,Abutilon theophrasti,Abutilon,theophrasti,Mallow (Malvaceae),Introduced,naturalized,0,"As its name implies, velvetleaf has very soft leaves and might be a plant of choice if searching for a toiletpaper substitute.  The leaves are broad and heart-shaped and the flowers have a fruity scent.  The unique seedpods are like buttons with small compartments holding individual flat seeds.  Velvetleaf grows as a weed where nutrient rich soils have been disturbed.",The stems are covered with fine hair.  The leaves are very heart-shaped and are extremely fuzzy.  Can reach up to 6 feet tall. ,"The Chinese use this plant for many ailments such as fever, dysentery, and stomachaches. In experiments it has been shown to be a depressant.",The unripe seeds are edible and were a common snack for children. Ripe seeds can be ground into flour. ,"It was introduced to North American in the 1700s to make rope. 
In Asia, it has been used for making cloth, fishing nets, and ropes for sailing ships. 
The leaves are commonly used by hikers as toilet paper. 
","Compared to Arctium minus (burdock) which has tougher leaves, A. theophrasti has leaves that are more heart-shaped, softer, and more hairy and velvety.  ","The nectar and pollen of the flowers attract various kinds of bees, including bumblebees, long-horned bees, leaf-cutting bees, and Halictid bees.  Some insects feed destructively on Velvet Leaf. ",July-Oct,Mesic to Dry,piemarker,"yellow, orange","raceme, cyme",radial,5,"Jul, Aug, Sept, Oct",alternate,simple,cordiform,"finely toothed, entire",yes,branched,round,fuzzy,"106, 60",upright no/few branches,singular
Common yarrow,Achillea millefolium,Achillea,millefolium,"Aster, Daisy (Asteraceae)",Native,Native - potentially invasive,1,"With very feathery and fern-like leaves, yarrow is an interesting specimen in the prairie.  Usually around 1-2 feet tall, yarrow has a flat topped inflorescence.  Its stems, leaves and flowers are very fragrant when crushed.  Yarrow is common throughout most of the country and it spreads rhizomatously. 
Leaves are evenly distributed along the stem, with the leaves near the middle and bottom of the stem being the largest. The leaves have varying degrees of hairiness (pubescence). The leaves are 5–20 cm long, bipinnate or tripinnate, almost feathery, and arranged spirally on the stems. The leaves grow towards the top of the stem and are more or less clasping.
","Smell the leaves for a strong medicinal scent (beware, it can cause allergic reactions in some people).  Very fernlike and feathery leaves (more so than Queen Anne’s lace) are a good indicator trait. ","The plant has been extensively used as medicine since ancient times.  Its healing properties are well known for any herbalist or survivalist. Among the many ailments it has been used to treat are broken bones, bruises, wounds, sores, eczema, stomachaches, colds, fevers, childbirth and most famously, as a treatment to stop bleeding.  A yarrow tincture on a tissue stuffed up the nostril can be used to stop a bloody nose.",Some people have allergic reactions to yarrow.  Leaves can be used to make a pleasant tea.,"Human use of the plant can be traced back to its discovery in Shanidar Cave in Iraq dating back almost 100,000 years.
Yarrow was named after Achilles, the Greek mythical figure who used it to stop the bleeding wounds of his soldiers.
It was used in counter-magical practices to 'drive out the  devil' of those who had become possessed.
Other common names like nosebleed plant and soldier’s woundwort, are testaments to its famous ability to stop bleeding.
Campers take note, The leaves and stems are collected into a smudge and burnt to keep mosquitoes away!
Seeds were used as a perfume and bath powder.  
Was once used by Native Americans as bait to hunt lynx. 
The Potawatomi created smoke by heating the seeds to keep away witches and evil spirits.  
The plant was placed inside a fish cavity as a preservative. 
Swedes used yarrow instead of hops to make beer and considered the beer to be more intoxicating.
Said to be a favorite snack for bears.
","Compared to Daucus carota (Queen Anne’s lace), yarrow has more feathery, lacy leaves and more flat-topped flower clusters. The are many garden varieties and introduced species of yarrow that are difficult to distinguish from common yarrow. ","Yarrow nectar attracts many kinds of insects, especially flies and wasps. Among the flies are such visitors as bee flies, Syrphid flies (including drone flies), thick-headed flies, Tachinid flies, flesh flies, Anthomyiid flies, and others. Halictid and other short-tongued bees occasionally visitor the flowers, where they suck nectar and collect pollen. Many species of grasshoppers feed on yarrow, as do several aphids, a seed bug, a flower thrips, leaf beetles, and caterpillars of some moths.  Because the foliage of Yarrow has a bitter and biting taste, it is rarely consumed by most mammalian herbivores. However, sheep will eat it when the opportunity arises",July-Oct,Mesic to Dry,milfoil,white,corymb,radial,5,"Jul, Aug, Sept, Oct",alternate,"pinnate, bipinnate","lanceolate, elliptic",lobed,"no, yes",branched,"round, ridged",fuzzy,"45, 16",upright no/few branches,"bunches, singular"
Giant hyssop,Agastache foeniculum,Agastache,foeniculum,Mint (Lamiaceae),Native,,6,"Hyssop is in the mint family although it does not have a mint-like scent.  Crush the leaves and you’ll notice an anise, or black licorice fragrance.  Hyssop often grows in clumps. ","Hyssop leaves smell like anise, or black licorice when crushed.  The stems are four-angled and are light green. The upper surface of the leaves is conspicuously veined and dull green, while the lower surface is white and finely canescent (coated with fine grey/white hairs).",Hyssop has been made into tea for chest pains or a weak heart.  Was used in special medicinal perfumes.  The powdered leaves were rubbed on the body for cooling effect during fevers. ,Leaves can be steeped to make tea. ,Agastache is in the mint family but does not have a mint-like scent.,The anise scent is a distinguishing characteristic that sets hyssop apart from similar species. ,"The flowers are pollinated by honeybees, bumblebees, and many other types of bees which seek nectar or pollen. Flies, hummingbirds, butterflies and moths will also visit the flowers. Mammalian herbivores normally avoid consumption of this plant as the anise scent of the foliage is repugnant to them. The anise scent may also deter some leaf-chewing insect species.",July-Sept,Mesic to Dry,"blue giant hyssop, fragrant giant hyssop, lavender giant hyssop",blue,spike,bilateral,5,"Jul, Aug, Sept",opposite,simple,cordiform,coarsely toothed,yes,branched,"square, ridged","hairless, hairy","91, 50",upright branching,bunches
White snakeroot,Ageratina altissima,Ageratina,altissima,"Aster, Daisy (Asteraceae)",Native,,1,"The tiny but brilliant white flowers of white snakeroot are often seen decorating drab shaded areas in the fall.  It is adaptive to a variety of growing conditions and can be found in open shady 
areas or in the middle of a treeless field, sometimes behaving as a weed in the shadier zones where the soil has been disturbed.   This plant is famous for causing deadly milk sickness. 
","The lower leaves grow on long stalks while the topmost cluster of leaves sometimes do not have stems.  The leaves are often emerald green and the flowers are clean, bright white.  The leaves and stems are typically hairless. ","White snakeroot has been used in a wide variety of medicinal applications including as a stimulant, tonic, diuretic and febrifuge.",Hazardous.,"The common name of this species derives from the erroneous belief among early settlers that the bitter rhizomes were beneficial in the treatment of snakebites. 
The foliage and rhizomes are highly toxic, causing fatalities from 'milk sickness'. The plant contains tremetol which is soluble in milk fat and can be transmitted to other animals (including humans) when they drink milk from cows that have eaten the plant. 
Milk sickness was one of the leading causes of death in people in Ohio, Kentucky, Indiana and Illinois during colonial times.  It is believed to have killed Abe Lincoln’s mother.  
An un-named Shawnee woman is responsible for explaining the plants properties to Anna Pierce Hobbs Bixby who is credited for identifying the cause of this illness.
Was used in witchcraft practices that were believed to lead to a male's member “rotting from the inside”.
","Compared to boneset (Eupatorium perfoliatum) which has leaves that join together at the stem, white snakeroot has leaves on stalks. ","The nectar of the flowers attracts a variety of insects, including bees, wasps, various flies, butterflies, and moths. The bees also collect pollen. The caterpillars of some moths are known to feed on the foliage. Because the foliage is bitter and toxic, mammalian herbivores usually avoid this plant as a food source. Sometimes cattle will eat it in overgrazed pastures, which can produce fatal results.",July-Oct,Wet-mesic to Dry-mesic,white snakeroot,white,"cyme, corymb",bilateral,more,"Jul, Aug, Sept, Oct",opposite,simple,ovate,coarsely toothed,yes,branched,round,"hairy, fuzzy","79, 28","upright no/few branches, upright branching","bunches, singular"
Garlic mustard,Alliaria petiolata,Alliaria,petiolata,Mustard (Brassicaceae),Introduced,naturalized; ecologically invasive,0,"Garlic mustard is a fiercely invasive weed that suppresses native vegetation growth in both disturbed and high quality ecosystems.  Garlic mustard is a biennial species which grows heart-shaped leaves that stay low to the ground during the first year of growth.  In the following spring, the garlic mustard will shoot straight up into a tall, slender plant 1-3 feet high, with clusters of small white, four-petal flowers.  Each plant then produces long thin seed pods which expel hundreds of new weed seeds to the neighboring soil.  ","The first-year leaves are mostly basal, triangular to heart shaped, have scalloped edges and give off an odor of garlic when crushed.  The second year plants grow leaves that alternate up a narrow, spindly stalk.   The garlic-like odor is often the best way to distinguish garlic mustard from similar plants. ","Medicinally, garlic mustard is an anti-asthmatic, antiscorbutic, antiseptic, diaphoretic and vermifuge.","The flowers, seeds, leaves, stalk and roots are all edible.  They contain vitamins A, C, E, B, omega-3 fatty acids and several minerals. While the plant contains trace amounts of cyanide, it isn’t strong enough to cause harm to humans.
The thin taproot tastes like horseradish. 
The leaves make for a decent presto. 
","Was used to make a yellow dye.
Can be used as an insecticide. 
Exudes antifungal chemicals that indirectly surpass native plant growth.
","The best way to distinguish garlic mustard from similar plants is to crush and smell the leaves.  Garlic mustard has a distinct garlic/mustard scent. 
Compared to violets which have leaves that tend to curl on themselves, garlic mustard leaves tend to be more flat. 
","The flowers attract small bees and flower flies. In sunnier areas, they may also attract an introduced cabbage white butterfly. There appears to be very few native insects that feed on the foliage and other parts of Garlic Mustard. At the present time, ecologists are examining insect pests of Garlic Mustard in Europe to determine if any of them are suitable for introduction in North America. So far, two species of leaf beetles appear to be the best candidates for biological control. Apparently the seeds are little-used by birds and mammalian herbivores rarely bother the foliage, possibly because they're repelled by its garlic-like scent. Considering how rapidly this plant has spread, it is thought that its seeds cling to the muddy feet of White-tailed Deer and the shoes of humans. This would explain its common occurrence along woodland paths.",May-Sept,Wet-mesic to Mesic,garlic mustard,white,raceme,radial,4,"May, Jun, Jul, Aug, Sept",alternate,simple,cordiform,coarsely toothed,yes,branched,round,"hairless, hairy","61, 30",upright no/few branches,"singular, bunches, patches"
Nodding wild onion,Allium cernuum,Allium,cernuum,Lily (Liliaceae),Native,,7,"Nodding wild onion has long grass-like leaves that emerge from a bulb just below the soil.  Early in the season they can be confused for grass but on close inspection, they have more thick leaves.  They’re most easily identified by the distinct oniony smell of the crushed leaves. When in in flower (July-August) wild onion can be identified by a thin 10-19"" flowering stalk where an umbel of flowers “nod” over during blooming.  ",Crushed leaves and flowers smell very oniony.  Leaf venation is parallel.  Each leaf is slightly keeled along the midvein. ,"Alliums were mixed with beebalm and made into tea that induced vomiting to ""force the illness out”.","The bulb is edible and has a strong onion flavor. The bulb and leaves can be eaten as a vegetable, pickled, or used as seasoning.","The city of Chicago takes its name from the wild onion.  A Native American word for onion is Shikaakwa (also meaning smelly skunk), which grew readily in the Chicago area.  The European settlers pronounced the word and transformed its spelling to Chicago. 
Shikaakwa also a planet in the Star Wars universe.
Cows who graze on wild onion sometimes have oniony milk. 
","Compared to prairie onion (A. stellatum) which has flowers that open up and petals that spread out, nodding wild onion has flowers that remain somewhat bell-shaped. 
Compared to prairie onion (A. stellatum) which has a more erect mature inflorescence that straightens up after nodding), nodding wild onion flowers nod over during the duration of the flowering cycle. 
Compared to prairie onion (A. stellatum) which has bracts at the base of the flower clusters that usually persist through flowering, nodding wild onion has bracts that tend to wither away.
Compared to prairie onion (A. stellatum) which has ovoid (egg-shaped) bulbs, nodding wild onion has elongated bulbs.
Compared to prairie onion (A. stellatum) which tends to have more pointed seeds, nodding wild onion has more blunt-ended seeds. 
Compared to prairie onion (A. stellatum) prefers habitat that is dry, rocky or sandy, nodding wild onion can be found on less dry sites. 
Compared to wild onion (A. canadense), nodding wild onion has wider leaves. 
Compared to cultivated onions (like chives) that have hollow leaves, nodding wild onion has leaves that are flattened and solid throughout.
","The nectar and pollen of the nodding flowers attract honeybees, bumblebees, Anthophorine bees and Halictid bees. Insects that feed destructively on the foliage and bulbs include the Onion Plant Bug, False Japanese Beetle, larvae of the Onion Maggot, larvae of the Black Onion fly, larvae of the Onion Bulb Fly, and Onion Thrips. Mammalian herbivores usually avoid onions, although cattle and other livestock may browse on the foliage along with the grass in pastures, causing an off-flavor in their milk.",July-Aug,Wet-mesic to Dry-mesic,nodding wild onion,"white, pink, purple",umbel,radial,6,"Jul, Aug",basal,simple,linear,entire,no,parallel,"ridged, square",hairless,"41, 10",upright no/few branches,"bunches, singular"
Prairie onion,Allium stellatum,Allium,stellatum,Lily (Liliaceae),Native,,9,"Prairie onion is typically found on rocky, sandy sites, often along riversides.  It has long grass-like leaves that emerge from a bulb just below the soil.  Early in the season they can be confused for grass but on close inspection, they have more thick leaves.  They’re most easily identified by the distinct oniony smell of the crushed leaves. When in in flower (July-August) wild onion can be identified by a thin 10-19"" flowering stalk where an umbel of flowers blooms.  ",Crushed leaves and flowers smell very oniony.  Leaf venation is parallel.  Each leaf is slightly keeled along the midvein. ,"Alliums were mixed with beebalm and made into tea that induced vomiting to ""force the illness out”.","The bulb is edible and has a strong onion flavor. The bulb and leaves can be eaten as a vegetable, pickled, or used as seasoning.","Though it is called prairie onion, this species is more typically found along steep bluffs or limestone outcroppings near rivers.
The species name stellatum is botanical Latin for ""starry"", and refers to the umbels.
","Compared to nodding wild onion (A. cernuum) which has flowers that remain bell-shaped, prairie onion has flowers that open up and petals that spread out. 
Compared to nodding wild onion which has flowers nod over during the duration of the flowering cycle, prairie onion has a more erect mature inflorescence that straightens up after nodding. 
Compared to nodding wild onion which has bracts that tend to wither away, prairie onion has bracts at the base of the flower clusters that usually persist through flowering.
Compared to nodding wild onion which has elongated bulbs, prairie onion has ovoid (egg-shaped) bulbs.
Compared to nodding wild onion which has more blunt-ended seeds, prairie onion tends to have more pointed seeds.
Compared to nodding wild onion which can be found on dry to mesic sites, prairie onion prefers habitat that is dry, rocky or sandy.
Compared to wild onion (A. canadense), prairie onion has wider leaves. 
Compared to cultivated onions (like chives) that have hollow leaves, prairie onion has leaves that are flattened and solid throughout.
","The flowers attract small flying insects, primarily flower flies and small bees. Most native herbivores probably do not feed on this plant because of the onion scent and spiciness of the leaves. However, livestock are known to eat the foliage of native onions along with the grass in pastures.",July-Aug,Mesic to Dry,"Autumn onion, prairie onion, wild onion","white, pink, purple",umbel,radial,6,"Jul, Aug, Sept",basal,simple,linear,entire,no,parallel,"ridged, square",hairless,"41, 10",upright no/few branches,"bunches, singular"
Redroot Pigweed,Amaranthus retroflexus,Amaranthus,retroflexus,Amaranth (Amaranthaceae),Native,,0,"A common native weed that, as the name implies, has red roots.  It is native to the tropical Americas. ","The stem lacks spines and is green to red at the base.  Inflorescence is usually branched with spikes of flowers that are taller than they are wide.  The leaves are equal to or longer than the leaf stalk.  The leaves higher on the stem have a lance shape and those lower on the plant diamond or oval in shape. The inflorescence is a large, dense cluster of flowers interspersed with spiny green bracts. The fruit is a capsule less than 2 mm long with a ""lid"" which opens to reveal a tiny black seed.","May have been used to stop internal hemorrhaging, diarrhea, and excessive menstrual flow.","Hazardous. Seeds can be beaten out onto a tarp, boiled for an hour or more and used to make cereal.  Parching the seeds first makes them more digestible.  Has been used as a pot herb.","Pigweed forms a tumbleweed after setting seed. 
The seeds are an important source of food to birds.
The common name, pigweed, stems from the fact that it grows where hogs are pasture-fed.
Leaves have been used in washing clothes because of high saponin content which forms soap-like foam.
Pigs and cattle eat pigweeds readily.","Compared to green amaranth (A. powellii) which has hairless stems, redroot pigweed has hairy stems. 
Compared to green amaranth which has leaves equal to or shorter than the leaf stalk, redroot pigweed leaves that are equal to or longer than the leaf stalk. 

Compared to creeping amaranth (A. blitoides) which tends to grow low along the ground, redroot pigweed stands erect. 

Compared to smooth pigweed (A. hybridus), redroot pigweed tends to be shorter and stouter.
Compared to smooth pigweed, redroot pigweed tends to have flowering spikes that are more stout and bristly.
Compared to smooth pigweed which has more green flowering spikes, redroot pigweed tends to have more whitish green flower spikes. 
Compared to smooth pigweed which has sepals that are more pointed at the tips (using hand lens), redroot pigweed sepals are more flattened. 
","Insects rarely visit the wind-pollinated flowers.  Several caterpillars feed on the plant.  Flea beetles chew little holes in the leaves. The seeds of pigweeds are very popular with birds as a source of food during the fall and winter.  Pigs and cattle eat pigweeds readily, although the foliage can cause bloating and other symptoms of nitrate poisoning if an excessive amount of the foliage is eaten. Deer and rabbits eat pigweeds to a limited extent.",July-Sept,Mesic to Dry,"common amaranth, pigweed, redroot, rough amaranth, rough pigweed, wild-beet amaranth, careless weed",green,spike,radial,5,"Jul, Aug, Sept",alternate,simple,"obovate, elliptic","entire, wavy",yes,branched,ridged,"fuzzy, hairy","86, 36",upright no/few branches,"singular, bunches"
Common ragweed,Ambrosia artemisiifolia,Ambrosia,artemisiifolia,"Aster, Daisy (Asteraceae)",Native,,0,A common weedy native plant that can be found in most disturbed sites.  Quite famous for its wind-dispersed allergy inducing pollen.  The deeply lobed leaves resemble fern fronds.,"Typically shorter than a few feet high when flowering, common ragweed has leaves that resemble ferns and 5 inch flower stalks. ","Native Americans crushed and rubbed leaves on insect stings and used teas to treat pneumonia, fever, and hives.  The juice from wilted leaves was used to treat infected toes.  Was used to treat intestinal worms, stop vomiting, minstrel discomfort, cramps, strokes, swelling, scalp diseases, hemorrhoids, ulcers, and for bloody diarrhea.
Some tribes use a poultice of the plant to prevent blood poisoning.
","Was once cultivated as a grain crop.  Native Americans would boil the seeds and ladle off the oil, a good source of fat when times are tough.  Foragers have been known to boil and eat the leaves. ",Lakota people called it “weed to wipe the rear”. ,"Compared to (queen Anne's lace) which has alternate leaves, A. artemisifollia has opposite leaves.  
Compared to A. trifida (giant ragweed) A. artemisiifolia is shorter (1-3' vs 2-9'), has shorter flower stalks (3-7"" vs 8-11"") and has more fernlike leaves. ","The nectar and pollen of the flowers attract small bees, wasps, flies, and beetles, wild carrot wasps.  Insects that feed destructively on the foliage, roots, and other parts are the root-feeding larvae of parsley weevil, root-feeding larvae of carrot beetle, root-feeding larvae of carrot rust fly, foliage-eating larvae of the moth zebra caterpillar, and foliage-eating larvae of the black swallowtail butterfly.  The two-striped grasshopper feeds on the foliage, while Allard's ground cricket feeds on the umbels of flowers.",Aug-Sept,Wet to Mesic,"annual bur-sage, common ragweed, short ragweed",green,spike,radial,more,"Aug, Sept","opposite, alternate",simple,lobed,lobed,yes,branched,round,hairy,"74, 53",upright branching,singular
Giant ragweed,Ambrosia trifida,Ambrosia,trifida,"Aster, Daisy (Asteraceae)",Native,Native - potentially invasive,0,"This giant plant is an allergy suffers worst nightmare.  While the flowers are inconspicuously green and lacking petals, they produce a fine pollen that is easily carried by the wind. It is usually flowering at the same time as goldenrods which are highly visible so many people believe they’re having allergic reactions to goldenrod unknowing that it’s actually ragweed pollen in the air.  It's adaptable to many site conditions and often behaves like a weed. ","Towering up to 15 feet high by late summer, the sheer size of the stalks and leaves can be used to identify giant ragweed.  The green stems are covered in white hairs. The leaves are opposite and the larger ones are usually 3 or 5 lobed.  Leaves are on long petioles.  The tiny green flowers are on long spikes and lack petals and sepals. ","It has been used medicinally for stings, hives, pneumonia, fever, toe infections, diarrhea to treat poison sumac symptoms, and to stop nose bleeds.",Causes allergies and hay fever.  Was once cultivated as a food source. ,"The name of this genus of plants refers to ambrosia, ""the food of the gods"" in antiquity. This seems like a strange name for a group of unattractive plants, unless it refers to the value of the seeds of certain species from a bird's point of view.","Compared to other ragweeds which have pinnately dived or lobed leaves, giant ragweed has palmately lobed leaves.","The flowers depend on wind pollination, therefore they attract few insects. The caterpillars of several moths feed on the leaves.   Because of their hard coat, the seeds are less attractive to birds than the seeds of common ragweed. A few upland gamebirds eat the seeds to a limited extent, including the greater prairie chicken. Cattle like to browse on the foliage, and to a lesser extent it is also browsed by white-tailed deer. Because of the poor digestibility of the seeds, it is possible that they are distributed by these birds and mammals.",Aug-Sept,Wet to Mesic,"giant ragweed, great ragweed, horse-cane",green,spike,radial,more,"Aug, Sept","opposite, alternate",simple,lobed,"lobed, toothed",yes,branched,round,hairy,"152, 58",upright branching,singular
